name,program_number,model_type,lat,lon,address,phone,contract_type,school_district,boro,zip,levelofcare
"MIDDLETON'S DAY CARE CTR",2894101,PP,40.67701750,-73.74387130,"226-02 MERRICK BLVD SPRINGFLD GARDENS, NY 11413",       ,PP,29,QN,11413,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"GOOD FOUNDATION PRESCHOOL",2894801,PP,40.69327820,-73.75558060,"196-04 LINDEN BLVD SAINT ALBANS, NY 11412",(718) 712-1500,PP,29,QN,11412,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[1.0,6.0,12.11,2.0]]"
"GOOD FOUNDATION KNDGRTN",2894901,PP,40.69324400,-73.75576000,"196-02A LINDEN BLVD ST ALBANS, NY 11412",(718) 712-1500,PP,29,QN,11412,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,3.0,5.11,0.0],[0.0,0.0,0.0,0.0]]"
"STEPPING STONE PRE+GRADE",2895001,PP,40.70057020,-73.74824030,"114-34 FRANCIS LEWIS BLVD SAINT ALBANS, NY 11411",(718) 465-2344,PP,29,QN,11411,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,5.0,12.11,0.0]]"
"LAURELTON DAY CARE",2895301,PP,40.66919220,-73.75147760,"141-19 224TH STREET LAURELTON, NY 11413",(718) 712-1860,PP,29,QN,11413,"[[1.0,0.02,1.11,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[1.0,6.0,12.11,2.0]]"
"NEW MILLENIUM DAY SCHOOL",2895501,PP,40.70774390,-73.78761440,"172-07 JAMAICA AVENUE JAMAICA, NY 11432",(718) 739-6566,PP,29,QN,11432,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,2.0,5.11,0.0],[0.0,6.0,12.11,0.0]]"
"FUTURE LEADERS CTR INC.",2895601,PP,40.67485200,-73.80483600,"133-13 ROCKAWAY BLVD SOUTH OZONE PK, NY 11420",(718) 529-8127,PP,27,QN,11420,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,3.0,5.11,0.0],[0.0,0.0,0.0,0.0]]"
"PACCOR KIDS",2895701,PP,40.68324580,-73.78211690,"118-17 GUY BREWER BLVD JAMAICA, NY 11434",(718) 525-9620,PP,28,QN,11434,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[1.0,6.0,12.11,2.0]]"
"GIL BLU NURSERY KINDERGAR",2895801,PP,40.68406400,-73.77086600,"120-02 MERRICK BLVD JAMAICA, NY 11434",(718) 723-8454,PP,28,QN,11434,"[[0.0,0.0,0.0,0.0],[1.0,0.0,0.0,0.0],[1.0,2.0,5.11,0.0],[1.0,0.0,0.0,0.0]]"
"CHINESE METH/MEI WAH DCC",2911001,PP,40.71222380,-73.99670010,"69 MADISON ST NEW YORK, NY 10002",(212) 349-2703,PP,02,MN,10002,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,2.06,5.0,2.0],[1.0,5.0,12.11,2.0]]"
"KIDS KORNER PRE SCH",2912401,PP,40.71351920,-73.99868990,"247 WORTH STREET NYC, NY 10011",(212) 229-9340,PP,02,MN,10011,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,2.0,5.0,0.0],[0.0,0.0,0.0,0.0]]"
"THE COLLEGE OF S.I ASSOC. INC",2914401,PP,40.59967430,-74.14953340,"2800 VICTORY BLVD STATEN ISLAND, NY 10314",(718) 982-3190,PP,31,SI,10314,"[[1.0,0.05,1.11,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,6.0,2.0],[1.0,5.0,12.11,2.0]]"
"WAGNER COLLEGE E.C. CTR",2914501,PP,40.61235700,-74.09203500,"1 CAMPUS RD  STATEN ISLAND, NY 10301",(718) 390-3137,PP,31,SI,10301,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.03,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"READY TO LEARN CCC",2915101,PP,40.71171740,-73.87372730,"67-52 79TH STREET MIDDLE VILLAGE, NY 11379",(718) 326-8018,PP,24,QN,11379,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,3.0,5.0,0.0],[1.0,5.0,12.11,0.0]]"
"HOSTOS CHILDREN'S CENTER",2917101,PP,40.84618190,-73.90950330,"475 GRAND CONCOURSE RM10 BRONX, NY 10451",(718) 518-4176,PP,09,BX,10451,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"SPUYTEN DUYVIL PRE SCH",2919601,PP,40.87941970,-73.90742860,"3041 KINGSBRIDGE AVENUE BRONX, NY 10463",(718) 549-1525,PP,10,BX,10463,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"YAI/NYL HARRY H GORDON",2922201,PP,40.85820050,-73.88919270,"2465 BATHGATE AVE BRONX, NY 10458",(718) 367-5917,PP,10,BX,10458,"[[0.0,1.04,1.11,0.0],[1.0,2.0,2.11,0.0],[1.0,3.0,5.0,0.0],[0.0,0.0,0.0,0.0]]"
"LITTLE PEOPLES DC INC.",2922401,PP,40.84851320,-73.92354110,"1600 SEDWICK AVE BRONX, NY 10453",,PP,09,BX,10453,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"PLYMOUTH CHURCH SCHOOL",2924201,PP,40.69932930,-73.99372270,"75 HICKS STREET BROOKLYN, NY 11201",(718) 624-9385,PP,13,BK,11201,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,2.0,5.11,0.0],[1.0,5.0,10.0,0.0]]"
"SHOSTAKOVICH PLAY SCHOOL",2925601,PP,40.59054700,-73.97194560,"297 AVENUE  X BROOKLYN, NY 11223",(718) 376-8056,PP,21,BK,11223,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,3.0,5.11,0.0],[1.0,5.0,12.11,0.0]]"
"ST. PETER'S PRE SCHOOL",2925901,PP,40.68269030,-73.88118850,"105 HIGHLAND PLACE BROOKLYN, NY 11208",(718) 647-1007,PP,19,BK,11208,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,3.0,5.11,0.0],[0.0,0.0,0.0,0.0]]"
"EAST MIDWOOD HEBREW DAY SCHOOL",2926501,PP,40.62243330,-73.95496930,"1256 EAST 21 STREET BROOKLYN, NY 11210",(718) 253-1555,PP,22,BK,11210,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,2.08,5.11,0.0],[1.0,6.0,12.11,0.0]]"
"GUILD FOR EXCPTNL CHLDRN",2929301,PP,40.63081490,-73.99693320,"1273 57TH ST BROOKLYN, NY 11219",       ,PP,20,BK,11219,"[[0.0,0.0,0.0,2.0],[1.0,1.09,2.11,2.0],[1.0,3.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"SEPHARDIC COMM YOUTH CTR",2929501,PP,40.60226870,-73.96541370,"1901 OCEAN PARKWAY BROOKLYN, NY 11223",(718) 627-4300,PP,21,BK,11223,"[[0.0,0.0,0.0,1.0],[0.0,0.0,0.0,1.0],[1.0,2.06,5.11,1.0],[1.0,6.0,12.11,1.0]]"
"STORYBOOK LAND DAY SCH",2930501,PP,40.60416260,-73.99906860,"8638 20TH AVE BROOKLYN, NY 11214",(718) 996-8714,PP,20,BK,11214,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"RED HAT DAY CARE CTR INC.",2932401,PP,40.61755040,-73.95975960,"1317 EAST 15TH STREET BROOKLYN, NY 11230",,PP,21,BK,11230,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"UNIQUE START DCC",2932501,PP,40.67071880,-73.92086950,"1746 STERLING PLACE BROOKLYN, NY 11233",(718) 773-5952,PP,17,BK,11233,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.0,2.0],[0.0,0.0,0.0,2.0]]"
"HOLY MOUNTAIN NUR SCHOOL",2935901,PP,40.74209090,-73.91958820,"41-05 45TH STREET QUEENS, NY 11104",(718) 762-2700,PP,24,QN,11104,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,6.0,2.0],[0.0,0.0,0.0,2.0]]"
"COMMUNITY LEARNING CENTER",2944201,PP,40.68201900,-73.85391330,"85-15 101 AVENUE QUEENS, NY 11416",,PP,27,QN,11416,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"LITTLE FRIENDS HOUSE #II",2946701,PP,40.72598940,-73.80463590,"75-41 164TH STREET FRESH MEADOWS, NY 11366",(718) 380-8800,PP,25,QN,11366,"[[1.0,0.0,1.11,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.0,2.0],[0.0,0.0,0.0,2.0]]"
"RENANIM MANHATTAN INC",2946901,PP,40.76097860,-73.96184110,"336 EAST 61ST STREET NEW YORK, NY 10021",(212) 750-2266,PP,02,MN,10021,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,3.0,5.11,0.0],[0.0,0.0,0.0,0.0]]"
"FOREST HILLS NUR & KDGN",2948201,PP,40.72538130,-73.84349770,"108-56 69TH AVE. FOREST HILLS, NY 11375",,PP,28,QN,11375,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"THE LITTLE DOLPHIN",2949701,PP,40.67881050,-73.84381700,"107-01 CROSSBAY BLVD OZONE PARK, NY 11417",(718) 641-7754,PP,27,QN,11417,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,3.0,5.11,0.0],[0.0,0.0,0.0,0.0]]"
"CHILDREN'S CTR OF JOHN JAY",2951901,PP,40.77090360,-73.98973020,"860  11 TH AVE. #L3.61.00 NEW YORK, NY 10019",(212) 237-8311,PP,02,MN,10019,"[[1.0,0.06,1.05,2.0],[1.0,1.06,2.11,2.0],[1.0,3.0,5.07,2.0],[0.0,0.0,0.0,2.0]]"
"A-RUM NURSERY SCHOOL",2956901,PP,40.75723050,-73.82587600,"140-30 SANFORD AVE #1C FLUSHING, NY 11355",(718) 359-4476,PP,25,QN,11355,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.0,2.0],[0.0,5.0,12.11,2.0]]"
"ABC DAY CARE CTR",2960501,PP,40.72438580,-73.94969870,"109 NASSAU AVE BKLYN, NY 11222",(718) 389-9004,PP,14,BK,11222,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,2.0,5.11,0.0],[0.0,0.0,0.0,0.0]]"
"YOUNG STAGE DAY CARE CTR",2960601,PP,40.65871700,-73.95785800,"1072-76 RUTLAND RD BKLYN, NY 11212",(718) 467-6726,PP,17,BK,11212,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,2.0,6.0,0.0],[0.0,0.0,0.0,0.0]]"
"MS SUNSHINE DAY CARE",2985501,PP,40.57688960,-73.96160870,"3096 BRIGHTON 6TH ST #A4 BROOKLYN, NY 11235",(718) 648-8786,PP,21,BK,11235,"[[1.0,0.0,1.11,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[1.0,5.0,12.11,2.0]]"
"TINY TOT PLAYHOUSE, THE",2986001,PP,40.62257040,-74.03285950,"243 88TH STREET  BROOKLYN, NY 11209",(718) 745-4509,PP,20,BK,11209,"[[0.0,0.0,0.0,2.0],[1.0,2.06,2.11,2.0],[1.0,3.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"FIRST IMPRESSIONS NURSERY SCHL",2986301,PP,40.64217200,-73.95419890,"2513 BEDFORD AVE BKLYN, NY 11226",(728) 469-9792,PP,22,BK,11226,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"BAMBI DAY CARE III",2987001,PP,40.60010710,-73.94017770,"2114 BROWN ST BROOKLYN, NY 11229",(718) 368-1817,PP,22,BK,11229,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,2.08,5.11,0.0],[0.0,0.0,0.0,0.0]]"
"HOREB DC CTR PS",2987201,PP,40.66106080,-73.94300710,"520 KINGSTON AVE BROOKLYN, NY 11225",(718) 771-0849,PP,17,BK,11225,"[[1.0,0.09,1.05,2.0],[1.0,1.06,2.0,2.0],[1.0,2.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"REGO PARK DAY SCHOOL I",2992701,PP,40.72806700,-73.86450900,"63-44 WETHEROLE ST REGO PARK, NY 11374",(718) 897-0693,PP,28,QN,11374,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.0,2.0],[0.0,0.0,0.0,2.0]]"
"MANHATTAN NURSERY SCH",2994501,PP,40.74777120,-73.98741520,"38 W. 32ND STREET #306 NEW YORK , NY 10001",(212) 631-0547,PP,02,MN,10001,"[[1.0,0.0,1.11,0.0],[1.0,2.0,2.11,0.0],[1.0,3.0,5.11,0.0],[0.0,0.0,0.0,0.0]]"
"LITTLE SCHOLARS DCC #3",2996201,PP,40.63529200,-73.91894370,"1711 RALPH AVE BROOKLYN, NY 11236",(718) 451-5145,PP,22,BK,11236,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,3.0,5.11,0.0],[0.0,0.0,0.0,0.0]]"
"BURATINO INTERNATIONAL DC",2996701,PP,40.57914470,-73.96680690,"2962 BRIGHTON 1ST STREET BROOKLYN, NY 11235",(718) 368-2113,PP,21,BK,11235,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,3.0,5.11,0.0],[0.0,0.0,0.0,0.0]]"
"RING AROUND THE ROSIE",2996801,PP,40.62253330,-74.00547270,"7106 13TH AVE BROOKLYN, NY 11228",(718) 492-7464,PP,20,BK,11228,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,3.0,5.11,0.0],[0.0,0.0,0.0,0.0]]"
"IMMIGRANT SOCIAL SERVICES",3001001,PP,40.71307580,-73.99154870,"122 HENRY STREET. P.S.2 NEW YORK, NY 10002",(212) 571-1840,PP,02,MN,10002,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,5.0,12.11,2.0]]"
"GODDARD RIVERSIDE CC",3005901,PP,40.78984240,-73.96924620,"647  COLUMBUS AVENUE NEW YORK, NY 10025",(212) 799-9400,PP,03,MN,10025,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,5.0,12.11,2.0]]"
"I.S.S. AFTER SCH PRO PS42",3011801,PP,40.71613600,-73.99084110,"71 HESTER STREET NEW YORK, NY 10002",(212) 226-8410,PP,02,MN,10002,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,5.0,12.11,2.0]]"
"NYCHA STH BCH HOUSES YTH",3015901,PP,40.59446820,-74.07861600,"155 NORWAY AVE STATEN ISLAND, NY 10305",,PP,31,SI,10305,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,6.0,12.11,2.0]]"
"KIPS BAY BOYS CLUB, INC",3018401,PP,40.81727990,-73.85661430,"1930 RANDALL AVE BRONX, NY 10473",(718) 893-8254,PP,08,BX,10473,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,6.0,12.11,2.0]]"
"ST EDMUNDS YOUTH PROGRAMS INC",3018701,PP,40.84992790,-73.90821180,"1905 MORRIS AVENUE BRONX, NY 10453",(718) 466-9370,PP,09,BX,10453,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,5.0,12.11,2.0]]"
"EAST SIDE HSES-MOTT HAVEN",3019001,PP,40.81286480,-73.92124230,"375 EAST 143RD ST. BRONX, NY 10454",(718) 665-5250,PP,07,BX,10454,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,6.0,12.11,2.0]]"
"ST. ANN'S CH. AFT. SCH PR",3019501,PP,40.80848460,-73.91695150,"295 ST. ANN'S AVE. BRONX, NY 10454",(718) 585-6325,PP,07,BX,10454,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,6.0,13.0,2.0]]"
"FEATHERBED LANE IMPR ASSN",3021001,PP,40.84801050,-73.92101870,"1491 MONTGOMERY AVENUE BRONX, NY 10453",(718) 901-4000,PP,09,BX,10453,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,5.0,12.11,2.0]]"
"KINGSBDG. HGTS COMM. CTR.",3024801,PP,40.87757900,-73.90071500,"3101 KINGSBRIDGE TERR. BRONX, NY 10463",(718) 884-0700,PP,10,BX,10463,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,5.0,12.11,2.0]]"
"HOWARD HOUSES COM CTR PAL",3034501,PP,40.67086540,-73.90859960,"90  WATKINS STREET BROOKLYN, NY 11212",(718) 485-8585,PP,23,BK,11212,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,6.0,12.11,2.0]]"
"SHOSTAKOVITCH MUSIC & ART",3041501,PP,40.60186280,-74.00277920,"1938 BATH AVE BROOKLYN, NY 11214",(718) 732-3716,PP,20,BK,11214,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,3.0,5.11,0.0],[1.0,5.0,12.11,0.0]]"
"FUTURE KIDS LEARNING CENTER",2398201,PP,40.63697800,-73.94843700,"1992 NOSTRAND AVE BROOKLYN, NY 11210",,PP,22,BK,11210,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"KIDDIE KORNER PRE-SCHOOL",1600000,PP,40.69406400,-73.99362450,"117  REMSEN ST BROOKLYN, NY 11201",,PP,13,BK,11201,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"GOLDEN DAISIES PREP",1600001,PP,40.64072890,-73.95494560,"2307 AVENUE D 1ST FL BROOKLYN, NY 11226",,PP,22,BK,11226,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,6.0,2.0],[0.0,0.0,0.0,2.0]]"
"ST MATTHEW LUTHERAN SCHOOL",1600004,PP,40.86557330,-73.92160220,"202  SHERMAN AVE NEW YORK, NY 10034",,PP,06,MN,10034,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.11,2.0],[1.0,5.09,12.11,2.0]]"
"CHILDREN'S KINGDOM INC",1600006,PP,40.62971490,-73.94381230,"3315  AVENUE I BROOKLYN, NY 11210",(718) 677-1315,PP,22,BK,11210,"[[1.0,0.0,1.11,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"LITTLE PEOPLES CHILD DEV CTR",1600008,PP,40.65480650,-73.91658210,"9414 CHURCH AVE BROOKLYN, NY 11212",(718) 345-0555,PP,18,BK,11212,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"BEIS CHAYA MUSHKA",1600009,PP,40.66644320,-73.93725440,"1505 CARROLL STREET BROOKLYN, NY 11213",(718) 756-0770,PP,17,BK,11213,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.08,5.11,2.0],[1.0,5.09,12.11,2.0]]"
"BET YAAKOV OHR SARAH",1600011,PP,40.61541100,-73.96266500,"1123 AVENUE  N BROOKLYN, NY 11230",(718) 627-8758,PP,21,BK,11230,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,2.08,5.11,0.0],[1.0,5.0,12.11,0.0]]"
"THE AFTER SCHOOL WORKSHOP ON ",1600012,PP,40.77770300,-73.96042820,"45 EAST 81 STREET NEW YORK, NY 10028",,PP,02,MN,10028,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,5.0,12.11,0.0]]"
"UNITED TALMUDICAL ACADEMY",1600015,PP,40.70584050,-73.95813460,"212 WILLIAMSBURG EAST  BROOKLYN, NY 11211",(718)    -    ,PP,14,BK,11211,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.08,5.11,2.0],[1.0,5.08,12.11,2.0]]"
"VIZNITZ CHAIDER TIFERES YISROE",1600016,PP,40.63643990,-73.98582570,"1424 43RD STREET BROOKLYN, NY 11219",(718) 633-5808,PP,20,BK,11219,"[[0.0,0.0,0.0,2.0],[0.0,2.08,2.11,2.0],[1.0,2.08,5.11,2.0],[1.0,6.0,12.11,2.0]]"
"UNITED TALMUDICAL ACADEMY",1600019,PP,40.70124760,-73.94558010,"110 THROOP AVE BROOKLYN, NY 11206",(718) 963-9260,PP,14,BK,11206,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,5.09,12.11,2.0]]"
"UNITED TALMUDICAL ACADEMY",1600020,PP,40.70628830,-73.95675220,"241 KEAP STREET BROOKLYN, NY 11211",(718) 963-9297,PP,14,BK,11211,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.08,5.11,2.0],[1.0,5.08,12.11,2.0]]"
"ASSOCIATED BETH RIVKAH SCH",1600023,PP,40.66225000,-73.94617210,"470 LEFFERTS AVENUE BROOKLYN, NY 11225",,PP,17,BK,11225,"[[0.0,0.0,0.0,2.0],[0.0,2.0,2.11,2.0],[1.0,2.08,5.11,2.0],[1.0,5.0,12.11,2.0]]"
"MONA PREP DAY CARE",1600025,PP,40.66675060,-73.73611240,"241-15 NO. CONDUIT BLVD. ROSEDALE, NY 11422",,PP,29,QN,11422,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[1.0,5.0,12.11,2.0]]"
"UNITED TALMUDICAL ACADEMY",1600026,PP,40.70409880,-73.96367140,"75 ROSS STREET BROOKLYN, NY 11249",(718) 935-9845,PP,14,BK,11249,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.08,5.11,2.0],[1.0,5.08,12.11,2.0]]"
"REHOBTH OPEN BIBLE CHURCH",1600028,PP,40.64197600,-73.92814190,"5102 AVENUE D BROOKLYN, NY 11203",,PP,18,BK,11203,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,5.0,12.11,2.0]]"
"UNITED TALMUDICAL ACADEMY",1600031,PP,40.70332100,-73.96094210,"590 BEDFORD AVE BROOKLYN, NY 11249",(718) 963-9283,PP,14,BK,11249,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.08,5.11,2.0],[0.0,6.0,12.11,2.0]]"
"UNITED TALMUDICAL ACADEMY",1600035,PP,40.70165370,-73.95632690,"125 HEYWARD STREET BROOKLYN, NY 11206",(718) 596-6537,PP,14,BK,11206,"[[0.0,0.0,0.0,2.0],[0.0,2.0,2.11,2.0],[0.0,3.0,5.11,2.0],[1.0,6.0,12.11,2.0]]"
"HIGHLIGHTS  ACADEMY INC",1600037,PP,40.66680720,-73.93161930,"1688 PRESIDENT STREET BROOKLYN, NY 11213",(718) 953-5555,PP,17,BK,11213,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,6.0,2.0],[0.0,0.0,0.0,2.0]]"
"QUEENS VILLAGE DAY SCHOOL INF",1600039,PP,40.71820260,-73.73533820,"96-11  SPRINGFIELD BLVD. QUEENS VILLAGE, NY 11429",,PP,29,QN,11429,"[[1.0,0.06,1.05,2.0],[1.0,1.06,2.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0]]"
"NEW HOPE DAY CARE",1600043,PP,40.65016100,-73.94918400,"1481 NOSTRAND AVENUE BROOKLYN, NY 11226",,PP,17,BK,11226,"[[1.0,0.0,1.11,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[0.0,5.0,12.11,2.0]]"
"RADUGA DAY CARE CENTER",1600045,PP,40.58809540,-73.96240980,"2546 EAST 7TH STREET BROOKLYN, NY 11235",,PP,21,BK,11235,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[1.0,5.0,12.11,2.0]]"
"AMC CHILD CARE CENTER",1600044,PP,40.68056510,-73.58960230,"322-324 NASSAU ROAD ROOSEVELT, NY 11575",(516) 377-7520,PP,,NA,11575,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,3.0,5.11,2.0],[1.0,6.0,12.11,2.0]]"
"BAY RIDGE AV CHILD CARE CENTER",1600046,PP,40.62475400,-74.00599450,"1206 BAY RIDGE AVENUE BROOKLYN, NY 11219",,PP,20,BK,11219,"[[1.0,0.02,1.11,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"STEP BY STEP DAY CARE CENTER",1600049,PP,40.66008300,-73.91781100,"1163 LENOX ROAD BROOKLYN, NY 11212",(347) 249-3248,PP,23,BK,11212,"[[1.0,0.02,1.11,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[1.0,5.0,12.11,2.0]]"
"RUGGED CROSS CHRISTIAN DCC",1600053,PP,40.69224690,-73.92863740,"1084 LAFAYETTE AVENUE BROOKLYN, NY 11221",,PP,16,BK,11221,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"ROUND THE CLOCK ",1600057,PP,40.85827150,-73.89548600,"2380 MARION AVENUE BRONX, NY 10458",,PP,10,BX,10458,"[[1.0,0.0,1.11,2.0],[1.0,2.0,2.11,2.0],[1.0,3.0,5.11,2.0],[0.0,5.0,12.11,2.0]]"
"VANDERBILT YMCA DAY CAMP",1600061,PP,40.75327260,-73.97099270,"224 EAST 47TH STREET NEW YORK, NY 10017",,PP,02,MN,10017,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,5.0,12.11,2.0]]"
